t,min,max,ave
0,0,0,0
9.98E-05,3.3054,38.913,12.777
2.00E-04,3.5445,45.764,16.603
2.99E-04,2.5733,64.64,20.882
3.99E-04,4.4207,66.122,21.43
4.99E-04,4.4369,81.03,24.117
6.00E-04,5.0696,77.511,26.042
7.00E-04,7.4555,76.639,27.01
8.00E-04,5.2125,71.063,28.327
8.99E-04,4.4737,97.624,30.197
9.99E-04,5.8112,82.103,31.1
1.10E-03,7.1968,86.087,32.969
1.20E-03,6.9146,122.22,34.551
1.30E-03,8.0414,131.71,35.779
1.40E-03,9.3779,121.99,36.262
1.50E-03,6.479,117.04,37.228
1.60E-03,8.3095,155.39,38.429
1.70E-03,6.5231,128.13,39.167
1.80E-03,9.1375,114.1,40.483
1.90E-03,3.7828,128.11,42.788
2.00E-03,9.5061,175.19,41.405
2.10E-03,9.0622,115.88,42.045
2.20E-03,23.557,2.69E+07,1.21E+06
2.30E-03,9.16E+05,1.82E+08,1.95E+07
2.40E-03,4.39E+06,1.61E+08,3.58E+07
2.50E-03,3.60E+06,1.23E+08,4.22E+07
2.60E-03,3.22E+06,1.45E+08,3.86E+07
2.70E-03,3.17E+06,1.23E+08,4.09E+07
2.80E-03,6.30E+06,1.75E+08,4.84E+07
2.90E-03,4.90E+06,1.79E+08,5.08E+07
3.00E-03,4.97E+06,9.22E+07,3.97E+07
3.10E-03,3.17E+06,1.31E+08,3.98E+07
3.20E-03,3.70E+06,1.22E+08,3.79E+07
3.30E-03,2.71E+06,9.61E+07,1.94E+07
3.40E-03,2.83E+06,1.01E+08,2.59E+07
3.50E-03,6.04E+06,1.34E+08,3.95E+07
3.60E-03,4.53E+06,1.23E+08,3.96E+07
3.70E-03,5.64E+06,1.13E+08,4.35E+07
3.80E-03,2.93E+06,1.76E+08,5.20E+07
3.90E-03,6.15E+06,1.58E+08,4.72E+07
4.00E-03,4.86E+06,1.12E+08,3.81E+07
4.10E-03,5.35E+06,1.52E+08,3.89E+07
4.20E-03,2.63E+06,1.09E+08,3.33E+07
4.30E-03,2.37E+06,9.63E+07,1.57E+07
4.40E-03,5.82E+06,1.14E+08,3.25E+07
4.50E-03,2.73E+06,1.42E+08,4.15E+07
4.60E-03,4.60E+06,1.16E+08,3.85E+07
4.70E-03,4.41E+06,1.44E+08,4.72E+07
4.80E-03,4.59E+06,1.76E+08,5.08E+07
4.90E-03,3.94E+06,1.23E+08,4.28E+07
5.00E-03,5.30E+06,1.17E+08,3.51E+07
5.10E-03,3.54E+06,1.51E+08,3.58E+07
5.20E-03,3.48E+06,9.59E+07,2.53E+07
5.30E-03,2.51E+06,1.19E+08,1.82E+07
5.40E-03,2.61E+06,1.22E+08,3.58E+07
5.50E-03,4.50E+06,1.22E+08,3.90E+07
5.60E-03,4.64E+06,1.04E+08,4.20E+07
5.70E-03,8.00E+06,1.50E+08,4.91E+07
5.80E-03,3.70E+06,1.68E+08,4.92E+07
5.90E-03,2.13E+06,1.02E+08,3.88E+07
6.00E-03,2.08E+06,1.21E+08,3.65E+07
6.10E-03,2.19E+06,1.22E+08,3.47E+07
6.20E-03,1.71E+06,1.10E+08,2.08E+07
6.30E-03,2.69E+06,1.10E+08,2.47E+07
6.40E-03,4.85E+06,1.29E+08,3.90E+07
6.50E-03,5.25E+06,1.17E+08,3.88E+07
6.60E-03,7.26E+06,1.01E+08,4.40E+07
6.70E-03,7.41E+06,1.50E+08,4.95E+07
6.80E-03,4.44E+06,1.40E+08,4.51E+07
6.90E-03,4.84E+06,9.75E+07,3.58E+07
7.00E-03,5.78E+06,1.43E+08,3.58E+07
7.10E-03,1.73E+06,1.11E+08,2.93E+07
7.20E-03,1.75E+06,1.04E+08,1.67E+07
7.30E-03,2.82E+06,1.08E+08,3.16E+07
7.40E-03,4.85E+06,1.22E+08,3.95E+07
7.50E-03,5.90E+06,9.59E+07,4.03E+07
7.60E-03,7.64E+06,1.17E+08,4.75E+07
7.70E-03,5.28E+06,1.53E+08,4.86E+07
7.80E-03,4.62E+06,1.23E+08,4.08E+07
7.90E-03,3.16E+06,9.50E+07,3.29E+07
8.00E-03,5.24E+06,1.18E+08,3.55E+07
8.10E-03,2.08E+06,9.92E+07,2.30E+07
8.20E-03,3.75E+06,1.10E+08,2.04E+07
8.30E-03,3.99E+06,1.45E+08,3.40E+07
8.40E-03,4.16E+06,1.25E+08,3.96E+07
8.50E-03,5.10E+06,9.48E+07,4.16E+07
8.60E-03,4.48E+06,1.45E+08,4.87E+07
8.70E-03,3.79E+06,1.43E+08,4.48E+07
8.80E-03,4.20E+06,9.05E+07,3.69E+07
8.90E-03,3.60E+06,1.02E+08,3.17E+07
9.00E-03,2.19E+06,1.27E+08,2.95E+07
9.10E-03,1.87E+06,9.61E+07,1.53E+07
9.20E-03,2.84E+06,1.04E+08,2.65E+07
9.30E-03,5.06E+06,1.34E+08,3.69E+07
9.40E-03,5.66E+06,1.20E+08,4.05E+07
9.50E-03,9.66E+06,1.09E+08,4.39E+07
9.60E-03,5.61E+06,1.43E+08,4.77E+07
9.70E-03,6.01E+06,1.27E+08,4.21E+07
9.80E-03,5.04E+06,1.20E+08,3.41E+07
9.90E-03,4.90E+06,1.16E+08,3.30E+07
1.00E-02,1.84E+06,9.20E+07,2.56E+07
1.00E-02,1.84E+06,9.20E+07,2.56E+07
